epoch,loss,MAE,F-beta
001,3.896,0.104,0.685
002,2.658,0.066,0.773
003,2.470,0.064,0.783
004,2.404,0.059,0.799
005,2.316,0.057,0.814
006,2.253,0.060,0.813
007,2.218,0.055,0.821
008,2.189,0.053,0.822
009,2.151,0.052,0.830
010,2.145,0.053,0.836
011,2.094,0.053,0.830
012,2.084,0.052,0.835
013,2.047,0.053,0.837
014,2.053,0.051,0.839
015,2.015,0.052,0.838
016,2.011,0.057,0.833
017,1.998,0.051,0.837
018,1.989,0.053,0.832
019,1.989,0.052,0.838
020,1.979,0.053,0.836
021,1.975,0.050,0.840
022,1.948,0.047,0.847
023,1.933,0.047,0.846
024,1.936,0.048,0.846
025,1.914,0.048,0.848
026,1.931,0.048,0.846
027,1.915,0.050,0.847
028,1.904,0.055,0.838
029,1.890,0.053,0.842
030,1.890,0.048,0.850
031,1.874,0.048,0.849
032,1.882,0.048,0.845
033,1.869,0.048,0.849
034,1.866,0.048,0.846
035,1.871,0.049,0.846
036,1.874,0.050,0.845
037,1.849,0.050,0.848
038,1.841,0.051,0.845
039,1.839,0.047,0.853
040,1.840,0.047,0.854
041,1.843,0.051,0.847
042,1.830,0.048,0.850
043,1.835,0.047,0.850
044,1.840,0.049,0.849
045,1.825,0.047,0.853
046,1.827,0.048,0.852
047,1.826,0.047,0.854
048,1.826,0.047,0.851
049,1.817,0.049,0.851
050,1.809,0.047,0.854
051,1.800,0.046,0.854
052,1.804,0.048,0.853
053,1.813,0.045,0.856
054,1.807,0.046,0.857
055,1.792,0.045,0.859
056,1.798,0.045,0.861
057,1.789,0.045,0.861
058,1.783,0.045,0.860
059,1.781,0.046,0.857
060,1.759,0.045,0.859
061,1.772,0.045,0.860
062,1.767,0.045,0.860
063,1.771,0.044,0.861
064,1.766,0.046,0.859
065,1.767,0.046,0.859
066,1.767,0.046,0.858
067,1.773,0.046,0.859
068,1.751,0.046,0.858
069,1.762,0.046,0.859
070,1.756,0.045,0.861
071,1.752,0.044,0.862
072,1.739,0.044,0.862
073,1.752,0.044,0.863
074,1.743,0.045,0.862
075,1.746,0.044,0.863
076,1.734,0.045,0.862
077,1.748,0.045,0.862
078,1.729,0.045,0.863
079,1.727,0.044,0.863
080,1.732,0.044,0.864
081,1.718,0.044,0.864
082,1.728,0.044,0.864
083,1.721,0.044,0.864
084,1.718,0.044,0.864
085,1.722,0.044,0.864
086,1.708,0.044,0.864
087,1.710,0.044,0.864
088,1.711,0.044,0.865
089,1.717,0.043,0.865
090,1.723,0.043,0.865
091,1.711,0.043,0.865
092,1.704,0.044,0.865
093,1.715,0.044,0.865
094,1.707,0.044,0.865
095,1.693,0.044,0.864
096,1.710,0.044,0.864
097,1.694,0.044,0.865
098,1.684,0.044,0.865
099,1.692,0.044,0.865
100,1.690,0.044,0.865
101,1.679,0.044,0.865
102,1.692,0.044,0.865
103,1.682,0.044,0.865
104,1.685,0.044,0.865
105,1.681,0.044,0.864
106,1.689,0.044,0.864
107,1.674,0.043,0.865
108,1.681,0.043,0.865
109,1.675,0.043,0.864
110,1.668,0.043,0.864
111,1.680,0.043,0.864
112,1.671,0.043,0.864
113,1.671,0.043,0.864
114,1.666,0.043,0.864
115,1.672,0.043,0.864
116,1.666,0.043,0.864
117,1.672,0.043,0.864
118,1.671,0.043,0.865
119,1.667,0.043,0.865
120,1.666,0.043,0.865
121,1.676,0.043,0.865
122,1.669,0.043,0.864
123,1.663,0.043,0.864
124,1.659,0.043,0.864
125,1.669,0.043,0.864
126,1.668,0.043,0.864
127,1.670,0.043,0.865
128,1.666,0.043,0.865
129,1.656,0.043,0.865
130,1.659,0.043,0.864
131,1.659,0.043,0.864
132,1.654,0.043,0.864
133,1.659,0.043,0.865
134,1.662,0.043,0.865
135,1.658,0.043,0.865
136,1.655,0.043,0.865
137,1.651,0.043,0.865
138,1.659,0.043,0.865
139,1.658,0.043,0.865
140,1.665,0.043,0.865
141,1.659,0.043,0.865
142,1.665,0.043,0.865
143,1.656,0.043,0.865
144,1.660,0.043,0.865
145,1.658,0.043,0.865
146,1.658,0.043,0.865
147,1.664,0.043,0.864
148,1.655,0.043,0.865
149,1.670,0.043,0.865
150,1.659,0.043,0.865
